Tamaño:	Tiempo promedio:	Promedio OB:	Min OB:	Max OB
706	 0.0000700	 7263.000	 6482	 8813
711	 0.0000704	 7273.000	 6530	 8429
716	 0.0000717	 7334.000	 6508	 8890
721	 0.0000717	 7418.000	 6733	 8884
726	 0.0000723	 7615.000	 6754	 8652
731	 0.0000729	 7627.000	 6634	 8782
736	 0.0000736	 7676.000	 6744	 9959
741	 0.0000742	 7656.000	 6646	 8746
746	 0.0000746	 7794.000	 6917	 9030
751	 0.0000758	 7921.000	 7115	 9509
756	 0.0000757	 7930.000	 7241	 9297
761	 0.0000762	 7865.000	 6875	 9203
766	 0.0000773	 7925.000	 7310	 9079
771	 0.0000774	 8071.000	 7368	 9498
776	 0.0000781	 8147.000	 7283	 9675
781	 0.0000790	 8129.000	 7250	 9166
786	 0.0000788	 8272.000	 7466	 9428
791	 0.0000794	 8501.000	 7619	 9493
796	 0.0000809	 8463.000	 7402	 9720
801	 0.0000806	 8505.000	 7791	 9746
806	 0.0000816	 8513.000	 7560	 9856
811	 0.0000820	 8649.000	 7760	 9694
816	 0.0000827	 8621.000	 7888	 10582
821	 0.0000829	 8647.000	 7593	 9861
826	 0.0000843	 8830.000	 7915	 9901
831	 0.0000845	 8926.000	 8007	 10073
836	 0.0000847	 8786.000	 7982	 10181
841	 0.0000863	 9005.000	 8142	 10416
846	 0.0000863	 9044.000	 7961	 10539
851	 0.0000869	 9182.000	 8004	 10889
856	 0.0000870	 9121.000	 8149	 10353
861	 0.0000882	 9215.000	 8315	 11204
866	 0.0000894	 9235.000	 8206	 10387
871	 0.0000890	 9389.000	 8557	 10791
876	 0.0000902	 9453.000	 8218	 11069
881	 0.0000908	 9441.000	 8567	 11067
886	 0.0000903	 9431.000	 8544	 10625
891	 0.0000909	 9556.000	 8558	 10811
896	 0.0000912	 9650.000	 8766	 11125
901	 0.0000920	 9497.000	 8389	 10626
906	 0.0000930	 9769.000	 8716	 11309
911	 0.0000934	 9916.000	 8702	 11700
916	 0.0000942	 9950.000	 8889	 11171
921	 0.0000945	 9909.000	 9040	 11412
926	 0.0000956	 9903.000	 9217	 12156
931	 0.0000959	 10084.000	 9155	 12026
936	 0.0000969	 10207.000	 9318	 11686
941	 0.0000971	 10131.000	 9325	 11370
946	 0.0000976	 10305.000	 9067	 11940
951	 0.0000988	 10363.000	 9288	 11464
956	 0.0001002	 10380.000	 9424	 11970
961	 0.0001001	 10610.000	 9437	 13680
966	 0.0000996	 10428.000	 9512	 11754
971	 0.0001008	 10502.000	 9564	 12599
976	 0.0001011	 10682.000	 9700	 12199
981	 0.0001027	 10775.000	 9748	 12438
986	 0.0001021	 10790.000	 9852	 12547
991	 0.0001026	 10623.000	 9909	 12852
996	 0.0001042	 10879.000	 10004	 12523
