Tamaño:	Tiempo promedio:	Promedio OB:	Min OB:	Max OB
236	 0.0000205	 1609.000	 1500	 1829
241	 0.0000212	 1668.000	 1547	 1958
246	 0.0000225	 1708.000	 1588	 1932
251	 0.0000222	 1758.000	 1653	 2133
256	 0.0000233	 1810.000	 1655	 2081
261	 0.0000232	 1842.000	 1721	 2075
266	 0.0000237	 1889.000	 1761	 2141
271	 0.0000249	 1913.000	 1783	 2136
276	 0.0000248	 1959.000	 1827	 2333
281	 0.0000251	 2012.000	 1845	 2332
286	 0.0000257	 2060.000	 1932	 2319
291	 0.0000273	 2102.000	 1965	 2395
296	 0.0000267	 2137.000	 2003	 2526
301	 0.0000278	 2181.000	 2022	 2397
306	 0.0000299	 2244.000	 2067	 2562
311	 0.0000287	 2290.000	 2148	 2562
316	 0.0000287	 2327.000	 2199	 2671
321	 0.0000293	 2339.000	 2223	 2535
326	 0.0000298	 2409.000	 2222	 2794
331	 0.0000304	 2484.000	 2284	 2761
336	 0.0000308	 2521.000	 2361	 2688
341	 0.0000312	 2579.000	 2380	 2857
346	 0.0000326	 2606.000	 2429	 2948
351	 0.0000325	 2655.000	 2474	 2989
356	 0.0000330	 2720.000	 2551	 3042
361	 0.0000337	 2727.000	 2555	 3195
366	 0.0000340	 2780.000	 2616	 3105
371	 0.0000345	 2854.000	 2658	 3269
376	 0.0000351	 2830.000	 2641	 3199
381	 0.0000357	 2939.000	 2709	 3334
386	 0.0000365	 3001.000	 2768	 3497
391	 0.0000376	 3018.000	 2788	 3542
396	 0.0000373	 3054.000	 2840	 3363
401	 0.0000376	 3098.000	 2926	 3442
406	 0.0000382	 3137.000	 2944	 3586
411	 0.0000389	 3210.000	 3004	 3505
416	 0.0000395	 3278.000	 3012	 3715
421	 0.0000400	 3337.000	 3069	 3881
426	 0.0000410	 3323.000	 3153	 3830
431	 0.0000409	 3393.000	 3204	 4047
436	 0.0000416	 3468.000	 3248	 3898
441	 0.0000419	 3504.000	 3277	 4042
446	 0.0000433	 3525.000	 3342	 3777
451	 0.0000437	 3598.000	 3345	 4097
456	 0.0000441	 3633.000	 3405	 3981
461	 0.0000441	 3700.000	 3452	 4446
466	 0.0000451	 3738.000	 3468	 4077
471	 0.0000474	 3762.000	 3562	 4422
476	 0.0000464	 3816.000	 3583	 4433
481	 0.0000465	 3859.000	 3659	 4313
486	 0.0000474	 3908.000	 3681	 4236
491	 0.0000484	 3994.000	 3736	 4458
496	 0.0000481	 4041.000	 3784	 4490
501	 0.0000496	 4130.000	 3883	 4689
506	 0.0000490	 4130.000	 3883	 4566
511	 0.0000503	 4187.000	 3932	 4523
516	 0.0000510	 4282.000	 3996	 4976
521	 0.0000507	 4249.000	 4022	 4835
526	 0.0000519	 4336.000	 4052	 5255
531	 0.0000517	 4380.000	 4066	 4842
536	 0.0000533	 4397.000	 4093	 4815
541	 0.0000535	 4455.000	 4171	 5174
546	 0.0000536	 4566.000	 4206	 5185
551	 0.0000541	 4637.000	 4335	 5272
556	 0.0000543	 4595.000	 4321	 5058
561	 0.0000551	 4650.000	 4388	 4977
566	 0.0000566	 4743.000	 4453	 5570
571	 0.0000568	 4757.000	 4509	 5291
576	 0.0000567	 4825.000	 4511	 5350
581	 0.0000574	 4941.000	 4623	 5520
586	 0.0000581	 4928.000	 4617	 6067
591	 0.0000598	 4927.000	 4689	 5568
596	 0.0000592	 5036.000	 4782	 5548
601	 0.0000597	 5028.000	 4778	 5591
606	 0.0000609	 5177.000	 4762	 5894
611	 0.0000613	 5190.000	 4863	 5735
616	 0.0000620	 5232.000	 4958	 5607
621	 0.0000620	 5282.000	 4957	 6033
626	 0.0000622	 5362.000	 5063	 5975
631	 0.0000656	 5349.000	 5027	 6039
636	 0.0000641	 5455.000	 5094	 6228
641	 0.0000646	 5507.000	 5150	 6730
646	 0.0000646	 5565.000	 5215	 6267
651	 0.0000652	 5554.000	 5256	 5950
656	 0.0000669	 5674.000	 5283	 6202
661	 0.0000685	 5713.000	 5357	 6251
666	 0.0000701	 5752.000	 5430	 6389
671	 0.0000675	 5802.000	 5537	 6645
676	 0.0000682	 5810.000	 5412	 6527
681	 0.0000706	 5952.000	 5485	 6472
686	 0.0000692	 5897.000	 5535	 6657
691	 0.0000700	 6039.000	 5616	 6990
696	 0.0000707	 6014.000	 5735	 6808
701	 0.0000726	 6103.000	 5798	 6611
706	 0.0000713	 6125.000	 5796	 6650
711	 0.0000722	 6205.000	 5846	 7035
716	 0.0000727	 6311.000	 5926	 6992
721	 0.0000738	 6284.000	 5935	 6789
726	 0.0000737	 6324.000	 5948	 6972
731	 0.0000753	 6378.000	 6021	 7264
736	 0.0000754	 6449.000	 6059	 7082
741	 0.0000753	 6513.000	 6151	 7038
746	 0.0000762	 6543.000	 6120	 6980
751	 0.0000774	 6649.000	 6237	 7341
756	 0.0000778	 6678.000	 6310	 7343
761	 0.0000788	 6724.000	 6330	 7408
766	 0.0000779	 6774.000	 6355	 7504
771	 0.0000795	 6794.000	 6418	 7547
776	 0.0000802	 6944.000	 6446	 7850
781	 0.0000800	 6936.000	 6592	 7696
786	 0.0000820	 7021.000	 6518	 8218
791	 0.0000820	 7029.000	 6587	 8050
796	 0.0000819	 7121.000	 6614	 7900
801	 0.0000823	 7193.000	 6727	 7974
806	 0.0000835	 7219.000	 6753	 7764
811	 0.0000849	 7293.000	 6845	 7879
816	 0.0000840	 7328.000	 6956	 8072
821	 0.0000854	 7364.000	 6865	 8368
826	 0.0000863	 7467.000	 6975	 8272
831	 0.0000863	 7455.000	 6987	 8111
836	 0.0000874	 7567.000	 6997	 8433
841	 0.0000892	 7607.000	 7216	 9005
846	 0.0000872	 7650.000	 7224	 8495
851	 0.0000891	 7547.000	 7255	 8086
856	 0.0000890	 7696.000	 7273	 8167
861	 0.0000910	 7712.000	 7337	 8194
866	 0.0000901	 7840.000	 7376	 8485
871	 0.0000917	 7894.000	 7436	 8598
876	 0.0000910	 7960.000	 7517	 8904
881	 0.0000921	 8119.000	 7544	 9036
886	 0.0000931	 8130.000	 7631	 9721
891	 0.0000929	 8158.000	 7833	 9046
896	 0.0000935	 8174.000	 7687	 8642
901	 0.0000943	 8227.000	 7759	 8942
906	 0.0000962	 8253.000	 7797	 9520
911	 0.0000964	 8418.000	 7824	 9566
916	 0.0000957	 8354.000	 7931	 10002
921	 0.0000972	 8456.000	 7960	 8960
926	 0.0000982	 8516.000	 8066	 9438
931	 0.0001024	 8520.000	 7904	 9381
936	 0.0001018	 8599.000	 8134	 9463
941	 0.0000996	 8700.000	 8099	 9596
946	 0.0001011	 8683.000	 8114	 9261
951	 0.0001018	 8868.000	 8197	 10039
956	 0.0001003	 8785.000	 8297	 9376
961	 0.0001016	 8820.000	 8400	 10350
966	 0.0001013	 8954.000	 8403	 10019
971	 0.0001031	 9097.000	 8424	 10407
976	 0.0001034	 9025.000	 8494	 9751
981	 0.0001034	 9070.000	 8650	 9798
986	 0.0001050	 9147.000	 8716	 10019
991	 0.0001052	 9164.000	 8716	 10420
996	 0.0001085	 9385.000	 8814	 10450
