Tamaño:	Tiempo promedio:	Promedio OB:	Min OB:	Max OB
1	 0.0000004	 0.000	 0	 0
6	 0.0000009	 8.000	 8	 9
11	 0.0000017	 23.000	 22	 29
16	 0.0000023	 41.000	 38	 50
21	 0.0000029	 63.000	 58	 77
26	 0.0000038	 86.000	 78	 100
31	 0.0000046	 112.000	 102	 134
36	 0.0000055	 135.000	 124	 153
41	 0.0000064	 165.000	 152	 200
46	 0.0000081	 194.000	 176	 249
51	 0.0000083	 220.000	 208	 257
56	 0.0000092	 256.000	 232	 328
61	 0.0000100	 284.000	 260	 343
66	 0.0000111	 321.000	 285	 392
71	 0.0000123	 345.000	 316	 390
76	 0.0000132	 380.000	 353	 438
81	 0.0000144	 413.000	 381	 502
86	 0.0000149	 447.000	 412	 510
91	 0.0000167	 475.000	 442	 529
96	 0.0000135	 513.000	 474	 570
101	 0.0000098	 553.000	 512	 650
106	 0.0000106	 590.000	 538	 727
111	 0.0000086	 629.000	 580	 741
116	 0.0000091	 660.000	 608	 740
121	 0.0000096	 696.000	 639	 783
126	 0.0000107	 730.000	 681	 845
131	 0.0000105	 763.000	 713	 871
136	 0.0000110	 798.000	 738	 921
141	 0.0000126	 847.000	 785	 975
146	 0.0000124	 891.000	 812	 1042
151	 0.0000137	 935.000	 853	 1088
156	 0.0000137	 946.000	 896	 1059
161	 0.0000139	 1009.000	 942	 1177
166	 0.0000142	 1054.000	 965	 1196
171	 0.0000148	 1089.000	 998	 1262
176	 0.0000157	 1118.000	 1035	 1266
181	 0.0000159	 1161.000	 1086	 1273
186	 0.0000164	 1199.000	 1119	 1278
191	 0.0000169	 1236.000	 1128	 1375
196	 0.0000173	 1285.000	 1168	 1514
201	 0.0000202	 1318.000	 1244	 1437
206	 0.0000190	 1365.000	 1267	 1523
211	 0.0000182	 1419.000	 1302	 1606
216	 0.0000187	 1450.000	 1358	 1653
221	 0.0000192	 1509.000	 1394	 1694
226	 0.0000205	 1540.000	 1448	 1775
231	 0.0000202	 1561.000	 1481	 1727
